mast_user_name,mqtt_node,parent_node_id,heads,appearance,physignal,mast_system_name,head_system_names,packed_ids,port_ids
102LB,4,C4,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH432)(IH433),IH432 IH433,432 433,C4-OU2-1 C4-OU2-2
102LA,4,C4,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH434),IH434,434,C4-OU2-3
101RA,4,C4,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH436),IH436,436,C4-OU2-5
101RB,4,C4,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH437),IH437,437,C4-OU2-6
100L,4,C4,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH438)(IH439),IH438 IH439,438 439,C4-OU3-1 C4-OU3-2
117RA,13,C1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1332)(IH1333),IH1332 IH1333,1332 1333,C1-OU2-1 C1-OU2-2
117LB,13,C1,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH1334),IH1334,1334,C1-OU2-3
117RB,13,C1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1335)(IH1336),IH1335 IH1336,1335 1336,C1-OU2-4 C1-OU2-5
117LA,13,C1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1337)(IH1338),IH1337 IH1338,1337 1338,C1-OU2-6 C1-OU3-1
111RA,12,C7,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1232)(IH1233),IH1232 IH1233,1232 1233,C7-OU2-1 C7-OU2-2
111L,12,C7,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1234)(IH1235),IH1234 IH1235,1234 1235,C7-OU2-3 C7-OU2-4
111RB,12,C7,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH1236),IH1236,1236,C7-OU2-5
112L,12,C7,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1237)(IH1238),IH1237 IH1238,1237 1238,C7-OU2-6 C7-OU3-1
110R,12,C7,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH1239),IH1239,1239,C7-OU3-2
112R,12,C7,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH1240)(IH1241),IH1240 IH1241,1240 1241,C7-OU3-3 C7-OU3-4
115LB,1,D1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH132)(IH133),IH132 IH133,132 133,D1-OU2-1 D1-OU2-2
114R,1,D1,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH134),IH134,134,D1-OU2-3
113RA,1,D1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH135)(IH136),IH135 IH136,135 136,D1-OU2-4 D1-OU2-5
113RB,1,D1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH137)(IH138),IH137 IH138,137 138,D1-OU2-6 D1-OU2-7
114LB,1,D1,2,SL-2-high-abs,double,IF$shsm:AAR-1946:SL-2-high-abs(IH139)(IH140),IH139 IH140,139 140,D1-OU2-8 D1-OU3-1
115R,1,D1,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH141),IH141,141,D1-OU3-2
115LA,1,D1,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH142),IH142,142,D1-OU3-3
114LA,1,D1,1,SL-1-low,single,IF$shsm:AAR-1946:SL-1-low(IH143),IH143,143,D1-OU3-4
