current_user_name,public_user_name,cp,role,notes
Switch 100,OS 100,Brick,os,
Switch 101,OS 101,Brick,os,
Switch 102,OS 102,Plane,os,
Switch 103,OS 103,South Yard,os,
Switch 104,OS 104,South Yard,os,
Switch 105,OS 105,South Yard,os,
Switch 106,OS 106,South Yard,os,
Switch 107,OS 107,East End,os,
Switch 108,OS 108,East End,os,
Switch 109,OS 109,East End,os,
Switch 110,OS 110,East End,os,
Switch 111a,OS 111a,East End,os,Crossover leg
Switch 111b,OS 111b,East End,os,Crossover leg
Switch 112,OS 112,East End,os,
Switch 113a,OS 113a,Princess,os,Crossover leg
Switch 113b,OS 113b,Princess,os,Crossover leg
Switch 114,OS 114,Princess,os,
Switch 115,OS 115,Princess,os,
Switch 116,OS 116,,os,hand-throw
Switch 117,OS 117,Barn,os,
Switch 117b,OS 117b,Barn,os,
Switch 118,OS 118,,os,hand-throw
Switch 119,OS 119,,os,hand-throw
Main West,Main West,,"track",
Main East,Main East,,"track",
West Main Ext,West Main Ext,,"track",
East Main Ext,East Main Ext,,"track",
East Lead,East Lead,East End,track,
Brick-Plane,Brick-Plane,Brick,track,CP limit Brick–Plane
West S-1,W-1,West Yard,yard,
West S-2,W-2,West Yard,yard,
Scale,Scale,West Yard,yard,
Barn,Barn,West Yard,yard,
EH-1,EH-1,West Yard,yard,
EH-2,EH-2,West Yard,yard,
EH-3,EH-3,West Yard,yard,
S-1,S-1,South Yard,yard,
S-2,S-2,South Yard,yard,
S-3,S-3,South Yard,yard,
S-4,S-4,South Yard,yard,
S-5,S-5,South Yard,yard,
McKees Rocks,McKees Rocks,Princess,interchange,
McKeesport,McKeesport,Princess,interchange,
